Year,Title,Character(s),Actor,Notes,Country,Identity
1968,Star!,Noël Coward,Daniel Massey,"Biopic about Gertrude Lawrence who, besides collaborating with him in theater productions, also had a close friendship with Coward off stage.",United States,Gay
1969,"Angel, Angel, Down We Go",Willy Steele,Charles Aidman,Willy is a wealthy airplane manufacturer and the closeted father of Tara.,United States,Gay
1969,The Damned,Konstantin von Essenbeck,Reinhard Kolldehoff,"Part of a wealthy industrialist family, Konstantin is an SA officer who is part of homosexual orgy in Wiesee.","Italy, West Germany",Gay
1969,Fellini Satyricon,Ascyltus,Hiram Keller,,"Italy, France",Gay
1969,The Gay Deceivers,Malcolm,Michael Greer,,United States,Gay
1969,The Gay Deceivers,Colonel Dixon,Jack Starrett,,United States,Gay
1969,Justine,Toto,Cliff Gorman,,United States,Gay
1969,"Listen, Let's Make Love",Baron von Tummler,Amerigo Tot,,"Italy, France",Gay
1969,Midnight Cowboy,Young Student,Bob Balaban,The young student offers Joe money in exchange for giving Joe fellatio in a Times Square movie house and afterward confesses he has no money to pay him.,United States,Gay
1969,Riot,Mary Sheldon,Clifford David,,United States,Gay
1969,Staircase,Harry C. Leeds,Richard Burton,,United Kingdom,Gay
1969,Staircase,Charles Dyer,Rex Harrison,,United Kingdom,Gay
1969,Women in Love,Loerke,Vladek Sheybal,,United Kingdom,Gay
1969,Z,Vago,Marcel Bozzuffi,,"Algeria, France",Gay
1970,Bloody Mama,Kevin Dirkman,Bruce Dern,Kevin is Fred's older cellmate who eventually became his lover.,United States,Gay
1970,The Boys in the Band,Michael,Kenneth Nelson,This was the first Hollywood film in which all of the principal characters are homosexual.,United States,Gay
1970,The Boys in the Band,Harold,Leonard Frey,,United States,Gay
1970,The Boys in the Band,Emory,Cliff Gorman,,United States,Gay
1970,The Boys in the Band,Hank,Laurence Luckinbill,,United States,Gay
1970,The Boys in the Band,Donald,Frederick Combs,,United States,Gay
1970,The Conformist,Marcello Clerici,Jean-Louis Trintignant,,"Italy, France, West Germany",Gay
1970,Entertaining Mr Sloane,Ed,Harry Andrews,,United Kingdom,Gay
1970,The Kremlin Letter,The Warlock,George Sanders,,United States,Gay
1970,Little Big Man,Little Horse,Robert Little Star,Little Horse is a native American that holds a sacred position in the tribe.,United States,Gay
1970,Loot,Dennis,Hywel Bennett,,United Kingdom,Gay
1970,Loot,Hal,Roy Holder,,United Kingdom,Gay
1970,Myra Breckinridge,"Irving ""Blaggot"" Amadeus",Calvin Lockhart,,United States,Gay
1970,The Private Life of Sherlock Holmes,Sherlock Holmes,Robert Stephens,,"United States, United Kingdom",Gay
1970,Something for Everyone,Konrad Ludwig,Michael York,Konrad and Helmuth are star-crossed lovers.,United States,Gay
1970,Something for Everyone,Helmuth von Ornstein,Anthony Higgins,,United States,Gay
1970,"Tell Me That You Love Me, Junie Moon",Warren,Robert Moore,Warren is the paraplegic friend of Junie Moon whom she meets in an institution.,United States,Gay
1970,"Tell Me That You Love Me, Junie Moon",Guiles,Leonard Frey,,United States,Gay
1971,The Anderson Tapes,Haskins,Martin Balsam,,United States,Gay
1971,The Cat o' Nine Tails,Dr. Braun,Horst Frank,Dr. Braun is a scientist and one of the innocent leads in a murder case.,"Italy, France, West Germany",Gay
1971,Death in Venice,Gustav von Aschenbach,Dirk Bogarde,,"France, Italy",Gay
1971,Diamonds Are Forever,Mr. Wint,Bruce Glover,Wint and Kidd are hit men who work for Ernst Stavro Blofeld.,United Kingdom,Gay
1971,Diamonds Are Forever,Mr. Kidd,Putter Smith,,United Kingdom,Gay
1971,Fortune and Men's Eyes,Queenie,Michael Greer,,United States,Gay
1971,Fortune and Men's Eyes,Mona,Danny Freedman,,United States,Gay
1971,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",Daniel,Bernd Feuerhelm,,West Germany,Gay
1971,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",Clemens,Berryt Bohlen,,West Germany,Gay
1971,The Last Picture Show,Coach Popper,Bill Thurman,Coach Popper is closeted and married to Ruth.,United States,Gay
1971,The Music Lovers,Tchaikovsky,Richard Chamberlain,,United Kingdom,Gay
1971,Pink Narcissus,Pan,Bobby Kendall,Pan is a young and attractive male escort.,United States,Gay
1971,Pink Narcissus,Bar Owner,Charles Ludlam,,United States,Gay
1971,Shaft,Rollie,Rex Robbins,Rollie is the bartender at a bar that Shaft frequents.,United States,Gay
1971,Some of My Best Friends Are...,Scott,Gil Gerard,"On Christmas Eve of 1971, in Greenwich Village, a group of gay men and lesbians meet at the Blue Jay Bar to talk about their lives and relationships.",United States,Gay
1971,Some of My Best Friends Are...,Jim,Gary Sandy,,United States,Gay
1971,Sunday Bloody Sunday,Daniel Hirsh,Peter Finch,Hirsh is a gay Jewish doctor.,United Kingdom,Gay
1971,Vanishing Point,Male hitchhiker No. 1,Anthony James,"The two men hitchhike while standing next to a broken-down car with a ""Just Married"" sign on the back. Kowalski picks them up and they attempt to rob him before he throws them out of the car.","United States, United Kingdom",Gay
1971,Vanishing Point,Male hitchhiker No. 2,Arthur Malet,,"United States, United Kingdom",Gay
1971,Villain,Vic Dakin,Richard Burton,,United Kingdom,Gay
1972,Blacula,Bobby McCoy,Ted Harris,"Bobby and Billy are lovers and interior decorators. They purchase the coffin containing Blacula and ship it to Los Angeles, becoming his first victims.",United States,Gay
1972,Blacula,Billy Schaffer,Rick Metzler,,United States,Gay
1972,"Georgia, Georgia",Herbert Thompson,Roger Furman,Herbert is Georgia's manager.,United States,Gay
1972,Pete 'n' Tillie,Jimmy Twitchell,René Auberjonois,Jimmy is Tillie's close friend.,United States,Gay
1972,Play It as It Lays,B.Z. Mendenhall,Anthony Perkins,B.Z. is a suicidal movie producer and best friend of Maria.,United States,Gay
1972,X Y & Zee,Gordon,John Standing,Gordon is a close friend of Zee's.,United Kingdom,Gay
1973,A Bigger Splash,David Hockney,Himself,Semi-fictionalized documentary biopic about Hockney.,United Kingdom,Gay
1973,A Bigger Splash,Peter Schlesinger,Himself,,United Kingdom,Gay
1973,Day for Night,Alexandre,Jean-Pierre Aumont,Alexandre is an actor whose lover is killed in a car accident.,France,Gay
1973,The Day of the Jackal,Bernard,Anton Rodgers,Bernard is picked up by the Jackel at a Turkish bathhouse and murdered.,United Kingdom,Gay
1973,The Last of Sheila,Tom Parkman,Richard Benjamin,,United States,Gay
1973,Ludwig,Ludwig II of Bavaria,Helmut Berger,"Ludwig has doubts if he can be a good husband to Sophie who loves him, and he postpones and eventually cancels the marriage. Instead, he starts having relationships with his servants, although being a devout Catholic makes him feel guilt about his homosexuality.","Italy, France, West Germany",Gay
1973,Papillon,André Maturette,Robert Deman,,United States,Gay
1973,Scarecrow,Riley,Richard Lynch,Riley is an inmate who sexually assaults Lion in prison.,United States,Gay
1973,Sleeper,Jeb Hrmthmg,Spencer Milligan,Jeb is a futuristic gay man that has a gay robot.,United States,Gay
1973,"Summer Wishes, Winter Dreams",Bobby Walden,Ron Rickards,Bobby comes out to his parents at 15 and later moves to Amsterdam.,United States,Gay
1973,The Tenderness of Wolves,Fritz Haarmann,Kurt Raab,,West Germany,Gay
1973,Theatre of Blood,Meredith Merridew,Robert Morley,Meredith is the theatre critic who wears a pink suit and has two poodles.,United Kingdom,Gay
1974,125 Rooms of Comfort,Billie Joyce,Tim Henry,Billie is left with ownership of his father's hotel after he dies.,Canada,Gay
1974,Butley,Ben Butley,Alan Bates,,"United States, Canada, United Kingdom",Gay
1974,The Conversation,Martin Stett,Harrison Ford,Martin is the Director's loyal assistant.,United States,Gay
1974,The Night Porter,Bert,Amedeo Amodio,Bert is a German dancer.,Italy,Gay
1974,The Taking of Pelham One Two Three,subway passenger,Gary Bolling,,United States,Gay
1974,The Tamarind Seed,Fergus Stephenson,Dan O'Herlihy,,United States,Gay
1974,A Very Natural Thing,David,Robert Joel,"David is a public school teacher and former monastic monk. He meets Mark at a disco. After their relationship ends he meets Jason, a photographer who came out after divorcing his wife.
The film contains documentary footage of the Christopher Street Liberation Day March in New York City (known today as NYC Pride March).",United States,Gay
1974,A Very Natural Thing,Mark,Curt Gareth,,United States,Gay
1974,A Very Natural Thing,Jason,Bo White,,United States,Gay
1974,A Very Natural Thing,Alan,Jay Pierce,,United States,Gay
1975,Barry Lyndon,British Soldier,Anthony Dawes,"While on the run, Barry stumbles upon two soldiers in a pond, naked and holding hands, professing their love for each other. He takes the uniform of one of the men in an attempt to steal his identity.","United States, United Kingdom",Gay
1975,Deep Red,Carlo Manganiello,Gabriele Lavia,Carlo is Marucs' best friend.,Italy,Gay
1975,The Eiger Sanction,Miles Mellough,Jack Cassidy,Miles is an assassin.,United States,Gay
1975,Fox and His Friends,"Franz ""Fox"" Bieberkopf",Rainer Werner Fassbinder,Fox is a working-class gay man who wins the lottery.,West Germany,Gay
1975,Funny Lady,Bobby Moore,Roddy McDowall,Bobby is Fanny's assistant and friend.,United States,Gay
1975,In Celebration,Colin Shaw,James Bolam,,"United Kingdom, United States",Gay
1975,Mahogany,Sean McAvoy,Anthony Perkins,Sean is a fashion designer who works with Tracy.,United States,Gay
1975,One Flew Over the Cuckoo's Nest,Dale Harding,William Redfield,Dale is a patient at the mental institution.,United States,Gay
1975,Saturday Night at the Baths,Scotti,Don Scotti,"Scotti manages a bathhouse and falls in love in love with Bisexual piano player, Michael.",United States,Gay
1975,The Sunday Woman,Massimo Campi,Jean-Louis Trintignant,Massimo is Anna's best friend.,"Italy, France",Gay
1976,L'Alpagueur,"Gilbert (""L'Epervier"")",Bruno Cremer,Gilbert is a killer and crook who has feelings for a young man he hires to rob a jewelry store.,France,Gay
1976,The Best Way to Walk,Marc,Patrick Dewaere,"In a vacation camp somewhere in the French country in 1960, Marc and Philippe are two of the counsellors.",France,Gay
1976,The Best Way to Walk,Philippe,Patrick Bouchitey,,France,Gay
1976,Car Wash,Lindy,Antonio Fargas,"Lindy is the flamboyant, yet unashamed gay employee of the car wash.",United States,Gay
1976,Coup de Grâce,Erich von Lhomond,Matthias Habich,,"West Germany, France",Gay
1976,Drum,Bernard DeMarigny,John Colicos,Bernard is a villainous plantation owner in 19th century New Orleans.,United States,Gay
1976,Face to Face,Dr. Tomas Jacobi,Erland Josephson,Dr. Jacobi is a close friend of Dr. Jenny.,Sweden,Gay
1976,The Man Who Fell to Earth,Oliver V. Farnsworth,Buck Henry,Oliver is a lawyer and Newton's business partner.,United Kingdom,Gay
1976,"Next Stop, Greenwich Village",Bernstein,Antonio Fargas,Bernstein has a Norwegian lover and becomes close friends with Larry and Sarah after they move to Greenwich Village.,United States,Gay
1976,Norman... Is That You?,Garson Hobart,Dennis Dugan,Norman is Ben's only child. Garson is Norman's lover.,United States,Gay
1976,Norman... Is That You?,Norman Chambers,Michael Warren,,United States,Gay
1976,Ode to Billy Joe,Billy Joe McAllister,Robby Benson,Billy Joe is a high school student in Mississippi who jumps off of a bridge due to the shame he feels for being gay.,United States,Gay
1976,The Ritz,Chris,F. Murray Abraham,"Chris befriends Jack, a heterosexual businessman who goes into hiding from his murderous mobster brother-in-law at a gay bathhouse in Manhattan. Chris shows him the ropes.
Claude is the ""chubby chaser"" who regularly patronizes the bathhouse.",United States,Gay
1976,The Ritz,Claude Perkins,Paul B. Price,,United States,Gay
1976,Sebastiane,Sebastian,Leonardo Treviglio,,United Kingdom,Gay
1976,Swashbuckler,Lord Durant,Peter Boyle,Durant is the tyrannical and cruel governor of Jamaica.,United States,Gay
1977,The Choirboys,Blaney,Michael MacKenzie Wills,Blaney is a closeted high school student who gets murdered.,United States,Gay
1977,Hidden Pleasures,Eduardo,Simón Andreu,"Eduardo is a middle-aged, closeted banker from a wealthy family, who falls in love with a much younger heterosexual man.",Spain,Gay
1977,Looking for Mr. Goodbar,Gary,Tom Berenger,"Gary is a repressed homosexual who flies into a rage and murders Theresa when she suggests that he might be gay.
The film was inspired by the 1973 murder of New York City schoolteacher Roseann Quinn.",United States,Gay
1977,Outrageous!,Robin Turner,Craig Russell,"Robin is a hairstylist who creates a drag act to earn extra money after his schizophrenic friend, Liza, becomes pregnant and needs to move in with him.",Canada,Gay
1977,The Private Files of J. Edgar Hoover,J. Edgar Hoover,Broderick Crawford,,United States,Gay
1977,Rituals,Martin,Robin Gammell,Martin is one of five doctors who are targeted by a killer while they are on group camping trip for the weekend.,Canada,Gay
1977,A Special Day,Gabriele,Marcello Mastroianni,"Set in Rome in 1938, the narrative follows Antonietta and her neighbor, Gabriele, who stay home the day Adolf Hitler visits Benito Mussolini; the same day that Gabriele comes out to her.","Italy, Canada",Gay
1977,To an Unknown God,José,Héctor Alterio,,Spain,Gay
1978,The Betsy,Loren Hardeman Jr.,Paul Ryan Rudd,Loren is the closeted son of a tycoon.,United States,Gay
1978,The Big Sleep,Arthur Geiger,John Justin,,"United States, United Kingdom",Gay
1978,Bloodbrothers,Paulie,Bruce French,Paulie is a jewelry salesman who has a strained relationship with his father.,United States,Gay
1978,California Suite,Sidney Cochran,Michael Caine,"Sidney is a closeted antique dealer and husband of movie star, Diane Barrie.",United States,Gay
1978,A Different Story,Albert Walreavens,Perry King,"A gay man and a lesbian who become temporary housemates end up falling in love with each other.
Film critic Janet Maslin's original review elaborates: ""The movie's use of [Albert and Stella's] homosexuality is indeed exploitative, insensitive, and offensive in a variety of ways. Even worse, it is unconvincing ... Albert's homosexuality is nothing but a gimmick, something for the screenplay to coax him out of.""",United States,Gay
1978,El diputado,Roberto Orbea,José Sacristán,Roberto gets elected as Deputy and falls in love with Juanito.,Spain,Gay
1978,El diputado,Juanito,José Luis Alonso,,Spain,Gay
1978,Midnight Express,Erich,Norbert Weisser,,United States,Gay
1978,Nighthawks,Jim,Ken Robertson,"Jim is a geography teacher who goes to gay pubs at night. His students ultimately challenge him with questions as to whether he is ""bent"" (i.e. homosexual). He responds that he is and answers their questions about his homosexuality calmly.",United Kingdom,Gay
1979,10,Hugh,Robert Webber,Hugh is George's best friend.,United States,Gay
1979,Ernesto,Ernesto,Martin Halm,,"Italy, Spain, West Germany",Gay
1979,Ernesto,The Man / The stableman,Michele Placido,,"Italy, Spain, West Germany",Gay
1979,Hot Potato,Claudio,Massimo Ranieri,,Italy,Gay
1979,Saint Jack,Senator,George Lazenby,The film's subplot involves a closeted and married conservative senator who flies to Singapore to pick up male prostitutes.,United States,Gay
1979,Savage Weekend,Nicky,Christopher Allport,Nicky is one of the members of a friend group who go away for the weekend and are stalked by a masked killer.,United States,Gay
1979,To Forget Venice,Nicky,Erland Josephson,,Italy,Gay
1980,American Gigolo,Leon James,Bill Duke,,United States,Gay
1980,Cruising,Ted Bailey,Don Scardino,"Ted is the next-door neighbor of undercover cop Steve. The two become friends while Steve works to track down a serial killer targeting gay men.
Gregory is Ted's boyfriend.",United States,Gay
1980,Cruising,Gregory,James Remar,,United States,Gay
1980,Fame,Montgomery MacNeil,Paul McCrane,Montgomery is a student in the Drama department who comes out to his peers during their second year.,United States,Gay
1980,"Happy Birthday, Gemini",Francis Geminiani,Alan Rosenberg,"On the eve of his 21st birthday, Francis realizes that he is in love with his girlfriend's brother, Randy.",United States,Gay
1980,The Last Married Couple in America,Donald,Stewart Moss,"Donald and Reggie are the neighbors of Jeff and Marie. While most couples that Jeff and Marie know have crumbling relationships, Donald and Reggie are well adjusted and happy.",United States,Gay
1980,The Last Married Couple in America,Reggie,Colby Chester,,United States,Gay
1980,Life and Death,John,[actor name N/A],A medical student.,Norway,Gay
1980,The Long Good Friday,Colin,Paul Freeman,Colin is the gay underworld lieutenant whose murder triggers a bloodbath.,United Kingdom,Gay
1980,Nijinsky,Sergei Diaghilev,Alan Bates,,United States,Gay
1980,Nijinsky,Vaslav Nijinsky,George de la Peña,,United States,Gay
1980,Serial,Luckman,Christopher Lee,Luckman is an executive headhunter by day and the head of a gay motorcycle gang by night.,United States,Gay
1980,Squeeze,Paul,Paul Eady,"Paul is a timid young man who develops a relationship with bisexual businessman, Grant.",New Zealand,Gay
1980,Stir Crazy,Rory Schultebrand,Georg Stanford Brown,"A drag-wearing convict who killed his stepfather.
(For his drag performance, Brown was nominated for the 1980 Golden Raspberry (Razzie) Award as ""Worst Supporting Actress"".)",United States,Gay
1980,Taxi zum Klo,Frank,Frank Ripploh,"The film explores the life of schoolteacher Frank, as he ponders whether to continue a life on anonymous sex or settle down with his eventual boyfriend, Bernd.",West Germany,Gay
1980,Taxi zum Klo,Bernd,Bernd Broaderup,,West Germany,Gay
1981,"Butcher, Baker, Nightmare Maker",Phil Brody,Caskey Swaim,,United States,Gay
1981,"Butcher, Baker, Nightmare Maker",Coach Tom Landers,Steve Eastin,,United States,Gay
1981,The Fan,Douglas Breen,Michael Biehn,Douglas is the obsessed fan of film star Sally Ross.,United States,Gay
1981,Knightriders,Pippin,Warner Shook,,United States,Gay
1981,Mad Max 2,The Golden Youth,Jimmy Brown,The Golden Youth is a punk on a motorcycle in post-nuclear society.,Australia,Gay
1981,Only When I Laugh,Jimmy Perry,James Coco,Jimmy a struggling actor and the best friend of Georgia.,United States,Gay
1981,The Woman Next Door,Roland Duguet,Roger Van Hool,,France,Gay
1981,"Zorro, the Gay Blade",Bunny Wigglesworth,George Hamilton,,United States,Gay
1982,Angel,Angelos,Michalis Maniatis,"Michalis is a young man in Athens, Angelos, who keeps his sexual identity a secret from his family. He falls hard for a rough sailor, Mihalis, and moves in with him.",Greece,Gay
1982,The Clinic,Dr. Eric Linden,Chris Haywood,,Australia,Gay
1982,Deathtrap,Sidney Bruhl,Michael Caine,Sidney and Clifford are lovers trying to do away with Sidney's wife.,United States,Gay
1982,Deathtrap,Clifford Anderson,Christopher Reeve,,United States,Gay
1982,Drifting,Robi,Jonathan Sagall,Robi is a young man trying to find love and break into the movie business.,Israel,Gay
1982,Evil Under the Sun,Rex Brewster,Roddy McDowall,Rex is a gossip columnist in the process of writing a biography of Arlene Stuart Marshall.,United Kingdom,Gay
1982,Forty Deuce,Ricky,Kevin Bacon,Ricky is a street hustler in Times Square.,United States,Gay
1982,Labyrinth of Passion,Riza Niro,Imanol Arias,,Spain,Gay
1982,Labyrinth of Passion,Sadec,Antonio Banderas,,Spain,Gay
1982,Luc or His Share of Things,Luc,Pierre Normandin,"After coming out as gay, Luc grapples with depression and suicidal thoughts but is saved by the acceptance and support of his friends, François and Louis.",Canada,Gay
1982,Making Love,Zack Elliot,Michael Ontkean,"Considered a Hollywood landmark film, for its portrayal of the relationship between Zack and Bart as equally valid to a heterosexual one.",United States,Gay
1982,Making Love,Bart McGuire,Harry Hamlin,,United States,Gay
1982,Night Shift,Prisoner,Charles Fleischer,,United States,Gay
1982,Partners,Kerwin,John Hurt,,United States,Gay
1982,Privates on Parade,Capt. Terri Dennis,Denis Quilley,,United Kingdom,Gay
1982,Victor/Victoria,"Carroll ""Toddy"" Todd",Robert Preston,Toddy is an aging performer at Club Chez Lui in Paris.,"United Kingdom, United States",Gay
1982,Victor/Victoria,Squash' Bernstein,Alex Karras,,"United Kingdom, United States",Gay
1982,The Year of Living Dangerously,Wally O'Sullivan,Noel Ferrier,Wally is an Australian journalist.,"United States, Australia",Gay
1983,The Dresser,Norman,Tom Courtenay,"During World War II, Norman works as a dresser who falls in love with an actor he serves.",United Kingdom,Gay
1983,"Merry Christmas, Mr. Lawrence",Capt. Yonoi,Ryuichi Sakamoto,,United Kingdom,Gay
1983,Self Defense,Daniel,Terry-David Després,"While the police are on strike, a fascist group goes to a gay bar and begins murdering the patrons. Daniel is the sole bar patron that escapes and he takes refuge in a local apartment.",Canada,Gay
1983,Sleepaway Camp,John Baker,Dan Tursi,,United States,Gay
1983,Sleepaway Camp,Lenny,James Paradise,,United States,Gay
1983,Staying Alive,Butler,Charles Ward,Butler is replaced as the lead dancer in a Broadway show by Tony.,United States,Gay
1983,Streamers,Richie,Mitchell Lichtenstein,,United States,Gay
1983,To Be or Not to Be,Sasha,James Haake,,United States,Gay
1983,Without a Trace,Philippe,Keith McDermott,,United States,Gay
1984,Another Country,Guy Bennett,Rupert Everett,,United Kingdom,Gay
1984,Another Country,James Harcourt,Cary Elwes,,United Kingdom,Gay
1984,Garbo Talks,Bernie Whitlock,Harvey Fierstein,Bernie is a kindhearted gay man on Fire Island who helps Gilbert find reclusive Hollywood legend Greta Garbo for his mother as her dying wish.,United States,Gay
1984,Horror Vacui,Frankie,Folkert Milster,"Hannes attempts to save his lover, Frankie, by stopping him from joining a religious cult.",West Germany,Gay
1984,Horror Vacui,Hannes,Tom Vogt,,West Germany,Gay
1984,The Hotel New Hampshire,Frank,Paul McCrane,,"United States, United Kingdom, Canada",Gay
1984,Irreconcilable Differences,Howard Kay,Richard Minchenberg,Howard becomes Lucy's secretary after she achieves great success as a writer.,United States,Gay
1984,La Muerte de Mikel,Mikel,Imanol Arias,Mikel falls in love with a drag queen and is murdered by his mother.,Spain,Gay
1984,La Muerte de Mikel,Fama,Fernando Telletxea,,Spain,Gay
1984,Mass Appeal,Deacon Mark Dolson,Željko Ivanek,,United States,Gay
1984,Meatballs Part II,Lieutenant Felix Foxglove,John Larroquette,Felix is the closeted gay assistant of Colonel Hershy.,United States,Gay
1984,Mike's Murder,Philip Green,Paul Winfield,Philip is the sympathetic and straightforward record producer who was in a relationship with Mike prior to his murder.,United States,Gay
1984,Monaco Forever,Karate Man,Jean-Claude Van Damme,,United States,Gay
1984,Protocol,Jerry,Grainger Hines,Jerry and Ben are in a committed relationship and are the roommates of Sunny.,United States,Gay
1984,Protocol,Ben,Joel Brooks,,United States,Gay
1984,Revenge of the Nerds,Lamar Lutrell,Larry B. Scott,Lamar is an openly gay fraternity member.,United States,Gay
1985,"Adiós, Roberto",Marcelo,Víctor Laplace,Marcelo is the roommate of Roberto.,Argentina,Gay
1985,After Hours,Mark,Robert Plunket,Mark is a novelist who picks up Paul.,United States,Gay
1985,The Boys Next Door,Chris,Paul C. Dancer,Chris is the ill-fated gay bar patron who unknowingly invites two killers to his apartment on the evening of their murder spree.,United States,Gay
1985,Buddies,Robert Willow,Geoff Edholm,"David is the volunteer ""buddy"" from the Gay Center who is assigned to help care for Robert, who is dying of AIDS. The film explores how David copes with Robert's illness and death.
It is the first narrative film about the AIDS crisis, preceding television film, An Early Frost (also released in 1985).",United States,Gay
1985,Buddies,Steve,David Rose,,United States,Gay
1985,A Chorus Line,Paul San Marco,Cameron English,,United States,Gay
1985,A Chorus Line,Greg Gardner,Justin Ross,,United States,Gay
1985,Colonel Redl,Colonel Alfred Redl,Klaus Maria Brandauer,Redl is head of the Austrian Imperial Secret Service who gets exposed as a gay spy.,West Germany,Gay
1985,Dona Herlinda and Her Son,Ramón,Arturo Meza,,Mexico,Gay
1985,Kiss of the Spider Woman,Luis Molina,William Hurt,"Luis is a prisoner who survives through recreating old movie fantasies.
(Hurt won an Academy Award for his performance.)",United States,Gay
1985,Mishima: A Life in Four Chapters,Yukio Mishima,Ken Ogata,The film depicted the life and work of the eponymous writer and activist.,United States,Gay
1985,My Beautiful Laundrette,Omar Ali,Gordon Warnecke,,United Kingdom,Gay
1985,My Beautiful Laundrette,Johnny,Daniel Day-Lewis,,United Kingdom,Gay
1985,A Nightmare on Elm Street 2: Freddy's Revenge,Coach Schneider,Marshall Bell,,United States,Gay
